table,function,metric,ssim,estimateerrorbound,pixerror
nycdata,boxcox0,ours,1.0,0.0,0.0
nycdata,divide,ours,0.9718,0.044,0.019
nycdata,func1,ours,1.0,0.0,0.0
nycdata,L2,ours,0.9888,0.021,0.006
nycdata,L22,ours,0.9883,0.018,0.007
nycdata,L2LN,ours,0.9754,0.049,0.021
nycdata,max,ours,0.9994,0.001,0.0
nycdata,mean,ours,0.9757,0.039,0.016
nycdata,minus,ours,0.9811,0.028,0.012
nycdata,multi,ours,0.9785,0.049,0.013
nycdata,plus,ours,0.9765,0.044,0.014
nycdata,variance,ours,0.9952,0.007,0.002
nycdata,weightsum,ours,0.9878,0.018,0.006
sensordata,boxcox0,ours,1.0,0.0,0.0
sensordata,divide,ours,0.9965,0.005,0.002
sensordata,func1,ours,1.0,0.0,0.0
sensordata,L2,ours,0.9999,0.0,0.0
sensordata,L22,ours,0.969,0.044,0.022
sensordata,L2LN,ours,0.9806,0.047,0.014
sensordata,max,ours,1.0,0.0,0.0
sensordata,mean,ours,0.9999,0.001,0.0
sensordata,minus,ours,0.9977,0.004,0.001
sensordata,multi,ours,0.9719,0.04,0.019
sensordata,plus,ours,0.9865,0.019,0.009
sensordata,variance,ours,0.9997,0.0,0.0
sensordata,weightsum,ours,0.9999,0.0,0.0
soccerdata,boxcox0,ours,1.0,0.0,0.0
soccerdata,divide,ours,0.9702,0.046,0.022
soccerdata,func1,ours,1.0,0.0,0.0
soccerdata,L2,ours,0.9974,0.007,0.001
soccerdata,L22,ours,0.9999,0.0,0.0
soccerdata,L2LN,ours,0.9732,0.05,0.022
soccerdata,max,ours,0.9953,0.011,0.004
soccerdata,mean,ours,0.9885,0.038,0.006
soccerdata,minus,ours,0.9905,0.012,0.004
soccerdata,multi,ours,0.9947,0.011,0.003
soccerdata,plus,ours,0.9998,0.0,0.0
soccerdata,variance,ours,0.9993,0.001,0.0
soccerdata,weightsum,ours,0.9936,0.013,0.003
stockdata,boxcox0,ours,1.0,0.0,0.0
stockdata,divide,ours,0.9766,0.035,0.014
stockdata,func1,ours,1.0,0.0,0.0
stockdata,L2,ours,0.9998,0.0,0.0
stockdata,L22,ours,1.0,0.0,0.0
stockdata,L2LN,ours,0.9787,0.046,0.013
stockdata,max,ours,1.0,0.0,0.0
stockdata,mean,ours,0.9988,0.002,0.0
stockdata,minus,ours,1.0,0.0,0.0
stockdata,multi,ours,1.0,0.0,0.0
stockdata,plus,ours,1.0,0.0,0.0
stockdata,variance,ours,1.0,0.0,0.0
stockdata,weightsum,ours,0.9996,0.001,0.0
synthetic128m,boxcox0,ours,1.0,0.0,0.0
synthetic128m,divide,ours,0.9997,0.001,0.0
synthetic128m,func1,ours,1.0,0.0,0.0
synthetic128m,L2,ours,0.9893,0.019,0.004
synthetic128m,L22,ours,0.997,0.005,0.001
synthetic128m,L2LN,ours,0.9797,0.046,0.01
synthetic128m,max,ours,0.9903,0.01,0.005
synthetic128m,mean,ours,0.9846,0.038,0.007
synthetic128m,minus,ours,0.9838,0.015,0.004
synthetic128m,multi,ours,0.9965,0.006,0.001
synthetic128m,plus,ours,0.9946,0.013,0.002
synthetic128m,variance,ours,0.9882,0.019,0.005
synthetic128m,weightsum,ours,0.9901,0.019,0.004
synthetic16m,boxcox0,ours,1.0,0.0,0.0
synthetic16m,divide,ours,0.9992,0.001,0.0
synthetic16m,func1,ours,1.0,0.0,0.0
synthetic16m,L2,ours,0.9893,0.043,0.004
synthetic16m,L22,ours,0.9969,0.005,0.001
synthetic16m,L2LN,ours,0.9768,0.037,0.01
synthetic16m,max,ours,0.9894,0.011,0.005
synthetic16m,mean,ours,0.9896,0.018,0.004
synthetic16m,minus,ours,0.9863,0.017,0.004
synthetic16m,multi,ours,0.9949,0.009,0.002
synthetic16m,plus,ours,0.9934,0.012,0.003
synthetic16m,variance,ours,0.9849,0.032,0.007
synthetic16m,weightsum,ours,0.9875,0.041,0.005
synthetic1b,boxcox0,ours,1.0,0.0,0.0
synthetic1b,divide,ours,0.9995,0.026,0.0
synthetic1b,func1,ours,1.0,0.0,0.0
synthetic1b,L2,ours,0.99,0.033,0.004
synthetic1b,L22,ours,0.9959,0.007,0.002
synthetic1b,L2LN,ours,0.9841,0.039,0.009
synthetic1b,max,ours,0.9918,0.008,0.004
synthetic1b,mean,ours,0.9882,0.025,0.005
synthetic1b,minus,ours,0.9919,0.018,0.003
synthetic1b,multi,ours,0.9867,0.029,0.006
synthetic1b,plus,ours,0.9902,0.019,0.004
synthetic1b,variance,ours,0.9898,0.019,0.004
synthetic1b,weightsum,ours,0.9884,0.021,0.005
synthetic1m,boxcox0,ours,1.0,0.0,0.0
synthetic1m,divide,ours,0.9878,0.043,0.007
synthetic1m,func1,ours,1.0,0.0,0.0
synthetic1m,L2,ours,0.9903,0.025,0.004
synthetic1m,L22,ours,0.9959,0.006,0.001
synthetic1m,L2LN,ours,0.982,0.047,0.008
synthetic1m,max,ours,0.9849,0.016,0.008
synthetic1m,mean,ours,0.9844,0.031,0.007
synthetic1m,minus,ours,0.9905,0.013,0.003
synthetic1m,multi,ours,0.9812,0.041,0.009
synthetic1m,plus,ours,0.9938,0.011,0.002
synthetic1m,variance,ours,0.9772,0.046,0.011
synthetic1m,weightsum,ours,0.9905,0.018,0.004
synthetic256m,boxcox0,ours,1.0,0.0,0.0
synthetic256m,divide,ours,0.9981,0.02,0.001
synthetic256m,func1,ours,1.0,0.0,0.0
synthetic256m,L2,ours,0.9911,0.04,0.003
synthetic256m,L22,ours,0.9825,0.039,0.008
synthetic256m,L2LN,ours,0.9877,0.025,0.006
synthetic256m,max,ours,0.9929,0.007,0.003
synthetic256m,mean,ours,0.9886,0.047,0.005
synthetic256m,minus,ours,0.9905,0.011,0.003
synthetic256m,multi,ours,0.9847,0.043,0.007
synthetic256m,plus,ours,0.987,0.036,0.005
synthetic256m,variance,ours,0.9882,0.036,0.005
synthetic256m,weightsum,ours,0.9876,0.046,0.005
synthetic2m,boxcox0,ours,1.0,0.0,0.0
synthetic2m,divide,ours,0.9902,0.038,0.006
synthetic2m,func1,ours,1.0,0.0,0.0
synthetic2m,L2,ours,0.992,0.017,0.003
synthetic2m,L22,ours,0.9954,0.018,0.002
synthetic2m,L2LN,ours,0.9873,0.042,0.006
synthetic2m,max,ours,0.9894,0.011,0.005
synthetic2m,mean,ours,0.986,0.029,0.006
synthetic2m,minus,ours,0.9925,0.02,0.003
synthetic2m,multi,ours,0.9964,0.012,0.001
synthetic2m,plus,ours,0.9934,0.022,0.003
synthetic2m,variance,ours,0.9876,0.02,0.006
synthetic2m,weightsum,ours,0.9912,0.021,0.003
synthetic32m,boxcox0,ours,1.0,0.0,0.0
synthetic32m,divide,ours,0.9996,0.001,0.0
synthetic32m,func1,ours,1.0,0.0,0.0
synthetic32m,L2,ours,0.9913,0.036,0.003
synthetic32m,L22,ours,0.9866,0.025,0.006
synthetic32m,L2LN,ours,0.9879,0.02,0.004
synthetic32m,max,ours,0.9931,0.007,0.003
synthetic32m,mean,ours,0.9874,0.047,0.006
synthetic32m,minus,ours,0.9949,0.009,0.002
synthetic32m,multi,ours,0.9977,0.004,0.001
synthetic32m,plus,ours,0.9815,0.038,0.009
synthetic32m,variance,ours,0.9836,0.049,0.008
synthetic32m,weightsum,ours,0.9838,0.045,0.007
synthetic4m,boxcox0,ours,1.0,0.0,0.0
synthetic4m,divide,ours,0.986,0.027,0.01
synthetic4m,func1,ours,1.0,0.0,0.0
synthetic4m,L2,ours,0.9918,0.013,0.003
synthetic4m,L22,ours,0.9947,0.008,0.002
synthetic4m,L2LN,ours,0.9859,0.046,0.006
synthetic4m,max,ours,0.9897,0.01,0.005
synthetic4m,mean,ours,0.9838,0.032,0.007
synthetic4m,minus,ours,0.9937,0.015,0.003
synthetic4m,multi,ours,0.9947,0.009,0.002
synthetic4m,plus,ours,0.993,0.013,0.003
synthetic4m,variance,ours,0.9916,0.016,0.003
synthetic4m,weightsum,ours,0.9905,0.017,0.004
synthetic512m,boxcox0,ours,1.0,0.0,0.0
synthetic512m,divide,ours,0.9998,0.001,0.0
synthetic512m,func1,ours,1.0,0.0,0.0
synthetic512m,L2,ours,0.9897,0.02,0.004
synthetic512m,L22,ours,0.983,0.04,0.008
synthetic512m,L2LN,ours,0.9874,0.024,0.006
synthetic512m,max,ours,0.9906,0.01,0.004
synthetic512m,mean,ours,0.9883,0.023,0.005
synthetic512m,minus,ours,0.9842,0.015,0.004
synthetic512m,multi,ours,0.996,0.009,0.001
synthetic512m,plus,ours,0.9801,0.043,0.009
synthetic512m,variance,ours,0.9903,0.018,0.004
synthetic512m,weightsum,ours,0.9871,0.048,0.005
synthetic64m,boxcox0,ours,1.0,0.0,0.0
synthetic64m,divide,ours,0.9997,0.033,0.0
synthetic64m,func1,ours,1.0,0.0,0.0
synthetic64m,L2,ours,0.9902,0.026,0.004
synthetic64m,L22,ours,0.9826,0.031,0.008
synthetic64m,L2LN,ours,0.9878,0.031,0.006
synthetic64m,max,ours,0.9924,0.007,0.003
synthetic64m,mean,ours,0.9886,0.021,0.005
synthetic64m,minus,ours,0.9684,0.043,0.013
synthetic64m,multi,ours,0.9963,0.006,0.001
synthetic64m,plus,ours,0.9964,0.008,0.001
synthetic64m,variance,ours,0.991,0.018,0.004
synthetic64m,weightsum,ours,0.9911,0.017,0.003
synthetic8m,boxcox0,ours,1.0,0.0,0.0
synthetic8m,divide,ours,0.9999,0.0,0.0
synthetic8m,func1,ours,1.0,0.0,0.0
synthetic8m,L2,ours,0.9916,0.035,0.003
synthetic8m,L22,ours,0.9892,0.019,0.004
synthetic8m,L2LN,ours,0.9937,0.018,0.003
synthetic8m,max,ours,0.9934,0.006,0.003
synthetic8m,mean,ours,0.9888,0.046,0.005
synthetic8m,minus,ours,0.996,0.008,0.002
synthetic8m,multi,ours,0.9804,0.041,0.01
synthetic8m,plus,ours,0.9882,0.025,0.005
synthetic8m,variance,ours,0.9939,0.016,0.002
synthetic8m,weightsum,ours,0.9872,0.047,0.006
traffic,boxcox0,ours,1.0,0.0,0.0
traffic,divide,ours,0.9827,0.03,0.009
traffic,func1,ours,0.9984,0.003,0.001
traffic,L2,ours,0.9711,0.042,0.017
traffic,L22,ours,0.9785,0.049,0.011
traffic,L2LN,ours,0.9819,0.05,0.01
traffic,max,ours,0.9878,0.024,0.006
traffic,mean,ours,0.9667,0.05,0.02
traffic,minus,ours,0.9775,0.048,0.012
traffic,multi,ours,0.9877,0.023,0.006
traffic,plus,ours,0.9821,0.031,0.009
traffic,variance,ours,0.9762,0.039,0.013
traffic,weightsum,ours,0.9687,0.044,0.017
nycdata,boxcox0,ee,1.0,0.0,0.0
nycdata,divide,ee,0.9444,0.044,0.04
nycdata,func1,ee,1.0,0.0,0.0
nycdata,L2,ee,0.9908,0.021,0.005
nycdata,L22,ee,0.9922,0.018,0.004
nycdata,L2LN,ee,0.9926,0.049,0.004
nycdata,max,ee,0.9986,0.001,0.001
nycdata,mean,ee,0.9932,0.039,0.004
nycdata,minus,ee,0.9676,0.028,0.023
nycdata,multi,ee,0.9713,0.049,0.019
nycdata,plus,ee,0.9817,0.044,0.011
nycdata,variance,ee,0.9966,0.007,0.002
nycdata,weightsum,ee,0.9947,0.018,0.003
sensordata,boxcox0,ee,1.0,0.0,0.0
sensordata,divide,ee,0.9928,0.005,0.004
sensordata,func1,ee,1.0,0.0,0.0
sensordata,L2,ee,0.9997,0.0,0.0
sensordata,L22,ee,0.9542,0.044,0.031
sensordata,L2LN,ee,0.9932,0.047,0.004
sensordata,max,ee,1.0,0.0,0.0
sensordata,mean,ee,0.9994,0.001,0.0
sensordata,minus,ee,0.9971,0.004,0.002
sensordata,multi,ee,0.9752,0.04,0.015
sensordata,plus,ee,0.9885,0.019,0.007
sensordata,variance,ee,0.9994,0.0,0.0
sensordata,weightsum,ee,0.9996,0.0,0.0
soccerdata,boxcox0,ee,1.0,0.0,0.0
soccerdata,divide,ee,0.9986,0.046,0.001
soccerdata,func1,ee,1.0,0.0,0.0
soccerdata,L2,ee,0.9947,0.007,0.003
soccerdata,L22,ee,0.9997,0.0,0.0
soccerdata,L2LN,ee,0.9952,0.05,0.003
soccerdata,max,ee,0.9904,0.011,0.008
soccerdata,mean,ee,0.9876,0.038,0.007
soccerdata,minus,ee,0.9932,0.012,0.004
soccerdata,multi,ee,0.9903,0.011,0.005
soccerdata,plus,ee,0.9995,0.0,0.0
soccerdata,variance,ee,0.9988,0.001,0.001
soccerdata,weightsum,ee,0.9923,0.013,0.004
stockdata,boxcox0,ee,0.9999,0.0,0.0
stockdata,divide,ee,0.9585,0.035,0.027
stockdata,func1,ee,1.0,0.0,0.0
stockdata,L2,ee,0.9997,0.0,0.0
stockdata,L22,ee,1.0,0.0,0.0
stockdata,L2LN,ee,0.9738,0.046,0.018
stockdata,max,ee,0.9999,0.0,0.0
stockdata,mean,ee,0.9988,0.002,0.001
stockdata,minus,ee,1.0,0.0,0.0
stockdata,multi,ee,1.0,0.0,0.0
stockdata,plus,ee,1.0,0.0,0.0
stockdata,variance,ee,1.0,0.0,0.0
stockdata,weightsum,ee,0.9995,0.001,0.0
synthetic128m,boxcox0,ee,1.0,0.0,0.0
synthetic128m,divide,ee,0.9996,0.001,0.0
synthetic128m,func1,ee,1.0,0.0,0.0
synthetic128m,L2,ee,0.9926,0.019,0.003
synthetic128m,L22,ee,0.995,0.005,0.002
synthetic128m,L2LN,ee,0.9637,0.046,0.028
synthetic128m,max,ee,0.9843,0.01,0.009
synthetic128m,mean,ee,0.9862,0.038,0.006
synthetic128m,minus,ee,0.9885,0.015,0.004
synthetic128m,multi,ee,0.9945,0.006,0.002
synthetic128m,plus,ee,0.9892,0.013,0.005
synthetic128m,variance,ee,0.9879,0.019,0.006
synthetic128m,weightsum,ee,0.9922,0.019,0.003
synthetic16m,boxcox0,ee,1.0,0.0,0.0
synthetic16m,divide,ee,0.9988,0.001,0.001
synthetic16m,func1,ee,1.0,0.0,0.0
synthetic16m,L2,ee,0.9763,0.043,0.015
synthetic16m,L22,ee,0.9954,0.005,0.002
synthetic16m,L2LN,ee,0.9729,0.037,0.019
synthetic16m,max,ee,0.9828,0.011,0.01
synthetic16m,mean,ee,0.9918,0.018,0.004
synthetic16m,minus,ee,0.9753,0.017,0.009
synthetic16m,multi,ee,0.9943,0.009,0.003
synthetic16m,plus,ee,0.9886,0.012,0.005
synthetic16m,variance,ee,0.9872,0.032,0.006
synthetic16m,weightsum,ee,0.9726,0.041,0.017
synthetic1b,boxcox0,ee,1.0,0.0,0.0
synthetic1b,divide,ee,0.9856,0.026,0.011
synthetic1b,func1,ee,1.0,0.0,0.0
synthetic1b,L2,ee,0.9783,0.033,0.013
synthetic1b,L22,ee,0.9938,0.007,0.003
synthetic1b,L2LN,ee,0.9704,0.039,0.023
synthetic1b,max,ee,0.9869,0.008,0.008
synthetic1b,mean,ee,0.9862,0.025,0.006
synthetic1b,minus,ee,0.9792,0.018,0.007
synthetic1b,multi,ee,0.9858,0.029,0.006
synthetic1b,plus,ee,0.9806,0.019,0.009
synthetic1b,variance,ee,0.9902,0.019,0.005
synthetic1b,weightsum,ee,0.9912,0.021,0.004
synthetic1m,boxcox0,ee,1.0,0.0,0.0
synthetic1m,divide,ee,0.9689,0.043,0.026
synthetic1m,func1,ee,1.0,0.0,0.0
synthetic1m,L2,ee,0.9855,0.025,0.006
synthetic1m,L22,ee,0.9939,0.006,0.003
synthetic1m,L2LN,ee,0.9694,0.047,0.021
synthetic1m,max,ee,0.9762,0.016,0.015
synthetic1m,mean,ee,0.9892,0.031,0.005
synthetic1m,minus,ee,0.9893,0.013,0.005
synthetic1m,multi,ee,0.9619,0.041,0.024
synthetic1m,plus,ee,0.9895,0.011,0.005
synthetic1m,variance,ee,0.9828,0.046,0.009
synthetic1m,weightsum,ee,0.9903,0.018,0.004
synthetic256m,boxcox0,ee,1.0,0.0,0.0
synthetic256m,divide,ee,0.9859,0.02,0.011
synthetic256m,func1,ee,1.0,0.0,0.0
synthetic256m,L2,ee,0.9794,0.04,0.013
synthetic256m,L22,ee,0.972,0.039,0.018
synthetic256m,L2LN,ee,0.9785,0.025,0.015
synthetic256m,max,ee,0.9887,0.007,0.007
synthetic256m,mean,ee,0.9781,0.047,0.014
synthetic256m,minus,ee,0.9844,0.011,0.005
synthetic256m,multi,ee,0.9681,0.043,0.021
synthetic256m,plus,ee,0.9743,0.036,0.016
synthetic256m,variance,ee,0.9738,0.036,0.016
synthetic256m,weightsum,ee,0.9718,0.046,0.018
synthetic2m,boxcox0,ee,1.0,0.0,0.0
synthetic2m,divide,ee,0.9724,0.038,0.024
synthetic2m,func1,ee,1.0,0.0,0.0
synthetic2m,L2,ee,0.9905,0.017,0.004
synthetic2m,L22,ee,0.9852,0.018,0.006
synthetic2m,L2LN,ee,0.9724,0.042,0.02
synthetic2m,max,ee,0.9828,0.011,0.01
synthetic2m,mean,ee,0.9899,0.029,0.004
synthetic2m,minus,ee,0.9784,0.02,0.008
synthetic2m,multi,ee,0.9909,0.012,0.004
synthetic2m,plus,ee,0.983,0.022,0.008
synthetic2m,variance,ee,0.9883,0.02,0.006
synthetic2m,weightsum,ee,0.9881,0.021,0.005
