table,function,metric,ssim,estimateerrorbound,pixerror
synthetic16m,divide,ce,0.9981,0.001,0.001
synthetic16m,func1,ce,1.0,0.0,0.0
synthetic16m,L2,ce,0.9728,0.043,0.016
synthetic16m,L22,ce,0.9948,0.005,0.002
synthetic16m,L2LN,ce,0.9783,0.037,0.012
synthetic16m,max,ce,0.9989,0.011,0.0
synthetic16m,mean,ce,0.9776,0.018,0.011
synthetic16m,minus,ce,0.9749,0.017,0.009
synthetic16m,multi,ce,0.9926,0.009,0.003
synthetic16m,plus,ce,0.9867,0.012,0.006
synthetic16m,variance,ce,0.9762,0.032,0.012
synthetic16m,weightsum,ce,0.9727,0.041,0.016
synthetic1b,boxcox0,ce,1.0,0.0,0.0
synthetic1b,divide,ce,0.9773,0.026,0.015
synthetic1b,func1,ce,1.0,0.0,0.0
synthetic1b,L2,ce,0.9785,0.033,0.012
synthetic1b,L22,ce,0.9924,0.007,0.003
synthetic1b,L2LN,ce,0.9826,0.039,0.01
synthetic1b,max,ce,0.9995,0.008,0.0
synthetic1b,mean,ce,0.9769,0.025,0.012
synthetic1b,minus,ce,0.979,0.018,0.007
synthetic1b,multi,ce,0.9836,0.029,0.007
synthetic1b,plus,ce,0.9807,0.019,0.009
synthetic1b,variance,ce,0.9782,0.019,0.011
synthetic1b,weightsum,ce,0.98,0.021,0.009
synthetic1m,boxcox0,ce,1.0,0.0,0.0
synthetic1m,divide,ce,0.9774,0.043,0.016
synthetic1m,func1,ce,1.0,0.0,0.0
synthetic1m,L2,ce,0.977,0.025,0.012
synthetic1m,L22,ce,0.9931,0.006,0.003
synthetic1m,L2LN,ce,0.9695,0.047,0.018
synthetic1m,max,ce,0.9985,0.016,0.001
synthetic1m,mean,ce,0.9681,0.031,0.017
synthetic1m,minus,ce,0.9874,0.013,0.006
synthetic1m,multi,ce,0.9808,0.041,0.009
synthetic1m,plus,ce,0.9881,0.011,0.005
synthetic1m,variance,ce,0.963,0.046,0.019
synthetic1m,weightsum,ce,0.9789,0.018,0.01
synthetic256m,boxcox0,ce,1.0,0.0,0.0
synthetic256m,divide,ce,0.9854,0.02,0.012
synthetic256m,func1,ce,1.0,0.0,0.0
synthetic256m,L2,ce,0.9785,0.04,0.013
synthetic256m,L22,ce,0.9743,0.039,0.014
synthetic256m,L2LN,ce,0.9897,0.025,0.005
synthetic256m,max,ce,0.9997,0.007,0.0
synthetic256m,mean,ce,0.9739,0.047,0.016
synthetic256m,minus,ce,0.9842,0.011,0.005
synthetic256m,multi,ce,0.9766,0.043,0.012
synthetic256m,plus,ce,0.9806,0.036,0.01
synthetic256m,variance,ce,0.9727,0.036,0.015
synthetic256m,weightsum,ce,0.9736,0.046,0.014
synthetic2m,boxcox0,ce,1.0,0.0,0.0
synthetic2m,divide,ce,0.9762,0.038,0.015
synthetic2m,func1,ce,1.0,0.0,0.0
synthetic2m,L2,ce,0.9821,0.017,0.009
synthetic2m,L22,ce,0.9847,0.018,0.007
synthetic2m,L2LN,ce,0.9757,0.042,0.015
synthetic2m,max,ce,0.9991,0.011,0.0
synthetic2m,mean,ce,0.9727,0.029,0.014
synthetic2m,minus,ce,0.9786,0.02,0.008
synthetic2m,multi,ce,0.99,0.012,0.004
synthetic2m,plus,ce,0.9816,0.022,0.008
synthetic2m,variance,ce,0.9754,0.02,0.013
synthetic2m,weightsum,ce,0.9798,0.021,0.01
synthetic32m,boxcox0,ce,0.9999,0.0,0.0
synthetic32m,divide,ce,0.9991,0.001,0.0
synthetic32m,func1,ce,1.0,0.0,0.0
synthetic32m,L2,ce,0.9774,0.036,0.013
synthetic32m,L22,ce,0.9825,0.025,0.008
synthetic32m,L2LN,ce,0.9855,0.02,0.008
synthetic32m,max,ce,0.9994,0.007,0.0
synthetic32m,mean,ce,0.9726,0.047,0.018
synthetic32m,minus,ce,0.9896,0.009,0.004
synthetic32m,multi,ce,0.9949,0.004,0.002
synthetic32m,plus,ce,0.9702,0.038,0.018
synthetic32m,variance,ce,0.9668,0.049,0.02
synthetic32m,weightsum,ce,0.9708,0.045,0.018
synthetic4m,boxcox0,ce,1.0,0.0,0.0
synthetic4m,divide,ce,0.9927,0.027,0.003
synthetic4m,func1,ce,1.0,0.0,0.0
synthetic4m,L2,ce,0.9821,0.013,0.008
synthetic4m,L22,ce,0.9895,0.008,0.004
synthetic4m,L2LN,ce,0.9729,0.046,0.016
synthetic4m,max,ce,0.9997,0.01,0.0
synthetic4m,mean,ce,0.9681,0.032,0.017
synthetic4m,minus,ce,0.9823,0.015,0.007
synthetic4m,multi,ce,0.9896,0.009,0.005
synthetic4m,plus,ce,0.9867,0.013,0.006
synthetic4m,variance,ce,0.9817,0.016,0.009
synthetic4m,weightsum,ce,0.9814,0.017,0.009
synthetic512m,boxcox0,ce,1.0,0.0,0.0
synthetic512m,divide,ce,0.9999,0.001,0.0
synthetic512m,func1,ce,1.0,0.0,0.0
synthetic512m,L2,ce,0.9831,0.02,0.008
synthetic512m,L22,ce,0.9752,0.04,0.013
synthetic512m,L2LN,ce,0.9859,0.024,0.007
synthetic512m,max,ce,0.9992,0.01,0.0
synthetic512m,mean,ce,0.9778,0.023,0.011
synthetic512m,minus,ce,0.9775,0.015,0.007
synthetic512m,multi,ce,0.9912,0.009,0.004
synthetic512m,plus,ce,0.9703,0.043,0.016
synthetic512m,variance,ce,0.9798,0.018,0.01
synthetic512m,weightsum,ce,0.9703,0.048,0.018
synthetic64m,boxcox0,ce,1.0,0.0,0.0
synthetic64m,divide,ce,0.9679,0.033,0.029
synthetic64m,func1,ce,1.0,0.0,0.0
synthetic64m,L2,ce,0.9792,0.026,0.01
synthetic64m,L22,ce,0.9747,0.031,0.014
synthetic64m,L2LN,ce,0.9825,0.031,0.009
synthetic64m,max,ce,0.9997,0.007,0.0
synthetic64m,mean,ce,0.9777,0.021,0.011
synthetic64m,minus,ce,0.9589,0.043,0.021
synthetic64m,multi,ce,0.9946,0.006,0.002
synthetic64m,plus,ce,0.992,0.008,0.003
synthetic64m,variance,ce,0.9803,0.018,0.01
synthetic64m,weightsum,ce,0.9847,0.017,0.007
synthetic8m,boxcox0,ce,1.0,0.0,0.0
synthetic8m,divide,ce,0.9997,0.0,0.0
synthetic8m,func1,ce,1.0,0.0,0.0
synthetic8m,L2,ce,0.9783,0.035,0.013
synthetic8m,L22,ce,0.9881,0.019,0.005
synthetic8m,L2LN,ce,0.9858,0.018,0.007
synthetic8m,max,ce,0.9996,0.006,0.0
synthetic8m,mean,ce,0.9723,0.046,0.018
synthetic8m,minus,ce,0.9915,0.008,0.003
synthetic8m,multi,ce,0.9774,0.041,0.012
synthetic8m,plus,ce,0.9835,0.025,0.008
synthetic8m,variance,ce,0.9847,0.016,0.007
synthetic8m,weightsum,ce,0.9706,0.047,0.018
traffic,boxcox0,ce,1.0,0.0,0.0
traffic,divide,ce,0.9661,0.03,0.019
traffic,func1,ce,1.0,0.003,0.0
traffic,L2,ce,0.9468,0.042,0.037
traffic,L22,ce,0.9587,0.049,0.025
traffic,L2LN,ce,0.9667,0.05,0.027
traffic,max,ce,0.9846,0.024,0.009
traffic,mean,ce,0.9432,0.05,0.043
traffic,minus,ce,0.9577,0.048,0.028
traffic,multi,ce,0.98,0.023,0.012
traffic,plus,ce,0.9708,0.031,0.016
traffic,variance,ce,0.9555,0.039,0.028
traffic,weightsum,ce,0.9432,0.044,0.039
nycdata,boxcox0,cc,1.0,0.0,0.0
nycdata,divide,cc,0.9938,0.044,0.004
nycdata,func1,cc,1.0,0.0,0.0
nycdata,L2,cc,0.9794,0.021,0.015
nycdata,L22,cc,0.9804,0.018,0.014
nycdata,L2LN,cc,0.9665,0.049,0.045
nycdata,max,cc,0.9997,0.001,0.0
nycdata,mean,cc,0.961,0.039,0.035
nycdata,minus,cc,0.991,0.028,0.006
nycdata,multi,cc,0.9624,0.049,0.03
nycdata,plus,cc,0.9584,0.044,0.033
nycdata,variance,cc,0.9909,0.007,0.005
nycdata,weightsum,cc,0.9776,0.018,0.015
sensordata,boxcox0,cc,1.0,0.0,0.0
sensordata,divide,cc,0.9984,0.005,0.001
sensordata,func1,cc,1.0,0.0,0.0
sensordata,L2,cc,1.0,0.0,0.0
sensordata,L22,cc,0.9833,0.044,0.013
sensordata,L2LN,cc,0.9656,0.047,0.032
sensordata,max,cc,1.0,0.0,0.0
sensordata,mean,cc,0.9995,0.001,0.0
sensordata,minus,cc,0.997,0.004,0.002
sensordata,multi,cc,0.969,0.04,0.024
sensordata,plus,cc,0.984,0.019,0.012
sensordata,variance,cc,1.0,0.0,0.0
sensordata,weightsum,cc,0.9999,0.0,0.0
soccerdata,boxcox0,cc,1.0,0.0,0.0
soccerdata,divide,cc,0.9512,0.046,0.045
soccerdata,func1,cc,1.0,0.0,0.0
soccerdata,L2,cc,0.995,0.007,0.003
soccerdata,L22,cc,0.9999,0.0,0.0
soccerdata,L2LN,cc,0.9539,0.05,0.047
soccerdata,max,cc,0.9988,0.011,0.001
soccerdata,mean,cc,0.9596,0.038,0.022
soccerdata,minus,cc,0.9861,0.012,0.007
soccerdata,multi,cc,0.9932,0.011,0.003
soccerdata,plus,cc,0.9998,0.0,0.0
soccerdata,variance,cc,0.9995,0.001,0.0
soccerdata,weightsum,cc,0.9877,0.013,0.007
stockdata,boxcox0,cc,0.9999,0.0,0.0
stockdata,divide,cc,0.9853,0.035,0.008
stockdata,func1,cc,1.0,0.0,0.0
stockdata,L2,cc,0.9997,0.0,0.0
stockdata,L22,cc,1.0,0.0,0.0
stockdata,L2LN,cc,0.9601,0.046,0.028
stockdata,max,cc,1.0,0.0,0.0
stockdata,mean,cc,0.9978,0.002,0.001
stockdata,minus,cc,1.0,0.0,0.0
stockdata,multi,cc,1.0,0.0,0.0
stockdata,plus,cc,1.0,0.0,0.0
stockdata,variance,cc,1.0,0.0,0.0
stockdata,weightsum,cc,0.9994,0.001,0.0
synthetic128m,boxcox0,cc,1.0,0.0,0.0
synthetic128m,divide,cc,0.9996,0.001,0.0
synthetic128m,func1,cc,1.0,0.0,0.0
synthetic128m,L2,cc,0.9796,0.019,0.01
synthetic128m,L22,cc,0.9939,0.005,0.002
synthetic128m,L2LN,cc,0.9762,0.046,0.013
synthetic128m,max,cc,0.9995,0.01,0.0
synthetic128m,mean,cc,0.969,0.038,0.018
synthetic128m,minus,cc,0.976,0.015,0.008
synthetic128m,multi,cc,0.9928,0.006,0.003
synthetic128m,plus,cc,0.988,0.013,0.005
synthetic128m,variance,cc,0.975,0.019,0.013
synthetic128m,weightsum,cc,0.9792,0.019,0.01
synthetic16m,boxcox0,cc,1.0,0.0,0.0
synthetic16m,divide,cc,0.9994,0.001,0.0
synthetic16m,func1,cc,1.0,0.0,0.0
synthetic16m,L2,cc,0.9735,0.043,0.015
synthetic16m,L22,cc,0.9941,0.005,0.002
synthetic16m,L2LN,cc,0.9749,0.037,0.012
synthetic16m,max,cc,0.9989,0.011,0.0
synthetic16m,mean,cc,0.9779,0.018,0.011
synthetic16m,minus,cc,0.9883,0.017,0.005
synthetic16m,multi,cc,0.9907,0.009,0.004
synthetic16m,plus,cc,0.9866,0.012,0.006
synthetic16m,variance,cc,0.9701,0.032,0.016
synthetic16m,weightsum,cc,0.9748,0.041,0.013
synthetic1b,boxcox0,cc,1.0,0.0,0.0
synthetic1b,divide,cc,0.9996,0.026,0.0
synthetic1b,func1,cc,1.0,0.0,0.0
synthetic1b,L2,cc,0.9794,0.033,0.011
synthetic1b,L22,cc,0.9919,0.007,0.003
synthetic1b,L2LN,cc,0.9828,0.039,0.009
synthetic1b,max,cc,0.9995,0.008,0.0
synthetic1b,mean,cc,0.9772,0.025,0.012
synthetic1b,minus,cc,0.9837,0.018,0.006
synthetic1b,multi,cc,0.969,0.029,0.016
synthetic1b,plus,cc,0.9866,0.019,0.006
synthetic1b,variance,cc,0.9773,0.019,0.012
synthetic1b,weightsum,cc,0.9777,0.021,0.011
synthetic1m,boxcox0,cc,1.0,0.0,0.0
synthetic1m,divide,cc,0.9973,0.043,0.001
synthetic1m,func1,cc,1.0,0.0,0.0
synthetic1m,L2,cc,0.9775,0.025,0.011
synthetic1m,L22,cc,0.9926,0.006,0.003
synthetic1m,L2LN,cc,0.9717,0.047,0.016
synthetic1m,max,cc,0.9966,0.016,0.001
synthetic1m,mean,cc,0.9689,0.031,0.017
synthetic1m,minus,cc,0.9833,0.013,0.006
synthetic1m,multi,cc,0.9827,0.041,0.008
synthetic1m,plus,cc,0.9889,0.011,0.005
synthetic1m,variance,cc,0.957,0.046,0.023
synthetic1m,weightsum,cc,0.979,0.018,0.01
synthetic256m,boxcox0,cc,1.0,0.0,0.0
synthetic256m,divide,cc,0.9989,0.02,0.001
synthetic256m,func1,cc,1.0,0.0,0.0
synthetic256m,L2,cc,0.9768,0.04,0.014
synthetic256m,L22,cc,0.9811,0.039,0.009
synthetic256m,L2LN,cc,0.988,0.025,0.006
synthetic256m,max,cc,0.9997,0.007,0.0
synthetic256m,mean,cc,0.9736,0.047,0.018
synthetic256m,minus,cc,0.9888,0.011,0.005
synthetic256m,multi,cc,0.98,0.043,0.01
synthetic256m,plus,cc,0.9791,0.036,0.011
synthetic256m,variance,cc,0.9733,0.036,0.014
synthetic256m,weightsum,cc,0.9723,0.046,0.016
synthetic2m,boxcox0,cc,1.0,0.0,0.0
synthetic2m,divide,cc,0.9966,0.038,0.002
synthetic2m,func1,cc,1.0,0.0,0.0
synthetic2m,L2,cc,0.9822,0.017,0.009
synthetic2m,L22,cc,0.9833,0.018,0.007
synthetic2m,L2LN,cc,0.9771,0.042,0.013
synthetic2m,max,cc,0.9991,0.011,0.0
synthetic2m,mean,cc,0.9725,0.029,0.015
synthetic2m,minus,cc,0.9798,0.02,0.007
synthetic2m,multi,cc,0.9893,0.012,0.005
synthetic2m,plus,cc,0.9826,0.022,0.008
synthetic2m,variance,cc,0.9746,0.02,0.013
synthetic2m,weightsum,cc,0.9797,0.021,0.01
synthetic32m,boxcox0,cc,0.9999,0.0,0.0
synthetic32m,divide,cc,0.9992,0.001,0.001
synthetic32m,func1,cc,1.0,0.0,0.0
synthetic32m,L2,cc,0.9779,0.036,0.013
synthetic32m,L22,cc,0.9903,0.025,0.004
synthetic32m,L2LN,cc,0.9864,0.02,0.007
synthetic32m,max,cc,0.9993,0.007,0.0
synthetic32m,mean,cc,0.9732,0.047,0.017
synthetic32m,minus,cc,0.985,0.009,0.004
synthetic32m,multi,cc,0.9959,0.004,0.002
synthetic32m,plus,cc,0.9851,0.038,0.007
synthetic32m,variance,cc,0.972,0.049,0.015
synthetic32m,weightsum,cc,0.9758,0.045,0.013
synthetic4m,boxcox0,cc,1.0,0.0,0.0
synthetic4m,divide,cc,0.999,0.027,0.0
synthetic4m,func1,cc,1.0,0.0,0.0
synthetic4m,L2,cc,0.9821,0.013,0.008
synthetic4m,L22,cc,0.9936,0.008,0.003
synthetic4m,L2LN,cc,0.9728,0.046,0.015
synthetic4m,max,cc,0.9992,0.01,0.0
synthetic4m,mean,cc,0.9682,0.032,0.018
synthetic4m,minus,cc,0.9837,0.015,0.006
synthetic4m,multi,cc,0.9896,0.009,0.005
synthetic4m,plus,cc,0.9858,0.013,0.007
synthetic4m,variance,cc,0.9814,0.016,0.009
synthetic4m,weightsum,cc,0.9806,0.017,0.009
synthetic512m,boxcox0,cc,1.0,0.0,0.0
synthetic512m,divide,cc,0.9994,0.001,0.0
synthetic512m,func1,cc,1.0,0.0,0.0
synthetic512m,L2,cc,0.9805,0.02,0.01
synthetic512m,L22,cc,0.9831,0.04,0.008
synthetic512m,L2LN,cc,0.9847,0.024,0.006
synthetic512m,max,cc,0.9992,0.01,0.0
synthetic512m,mean,cc,0.9778,0.023,0.012
synthetic512m,minus,cc,0.9854,0.015,0.006
synthetic512m,multi,cc,0.9915,0.009,0.003
synthetic512m,plus,cc,0.9815,0.043,0.009
synthetic512m,variance,cc,0.9794,0.018,0.01
synthetic512m,weightsum,cc,0.9748,0.048,0.014
synthetic64m,boxcox0,cc,1.0,0.0,0.0
synthetic64m,divide,cc,0.9999,0.033,0.0
synthetic64m,func1,cc,1.0,0.0,0.0
synthetic64m,L2,cc,0.9792,0.026,0.01
synthetic64m,L22,cc,0.99,0.031,0.004
synthetic64m,L2LN,cc,0.9829,0.031,0.009
synthetic64m,max,cc,0.9997,0.007,0.0
synthetic64m,mean,cc,0.978,0.021,0.011
synthetic64m,minus,cc,0.9838,0.043,0.007
synthetic64m,multi,cc,0.9928,0.006,0.003
synthetic64m,plus,cc,0.9918,0.008,0.003
synthetic64m,variance,cc,0.9806,0.018,0.01
synthetic64m,weightsum,cc,0.982,0.017,0.009
synthetic8m,boxcox0,cc,1.0,0.0,0.0
synthetic8m,divide,cc,0.9998,0.0,0.0
synthetic8m,func1,cc,1.0,0.0,0.0
synthetic8m,L2,cc,0.979,0.035,0.012
synthetic8m,L22,cc,0.9915,0.019,0.003
synthetic8m,L2LN,cc,0.9859,0.018,0.007
synthetic8m,max,cc,0.9996,0.006,0.0
synthetic8m,mean,cc,0.9735,0.046,0.016
synthetic8m,minus,cc,0.9922,0.008,0.003
synthetic8m,multi,cc,0.985,0.041,0.007
synthetic8m,plus,cc,0.9866,0.025,0.006
synthetic8m,variance,cc,0.9854,0.016,0.007
synthetic8m,weightsum,cc,0.9764,0.047,0.013
traffic,boxcox0,cc,1.0,0.0,0.0
traffic,divide,cc,0.9661,0.03,0.019
traffic,func1,cc,1.0,0.003,0.0
traffic,L2,cc,0.9468,0.042,0.037
traffic,L22,cc,0.9624,0.049,0.022
traffic,L2LN,cc,0.9694,0.05,0.019
traffic,max,cc,0.9846,0.024,0.009
traffic,mean,cc,0.9442,0.05,0.041
traffic,minus,cc,0.9577,0.048,0.028
traffic,multi,cc,0.9789,0.023,0.012
traffic,plus,cc,0.9774,0.031,0.012
traffic,variance,cc,0.9555,0.039,0.028
traffic,weightsum,cc,0.9432,0.044,0.039
