method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic2m,boxcox0,1200,0.049,0.2658615112304687
DUCK-F-AM4,synthetic2m,devide,1200,0.045,0.2875556945800781
DUCK-F-AM4,synthetic2m,func1,1200,0.044,0.2535934448242187
DUCK-F-AM4,synthetic2m,L22,1200,0.049,0.2850723266601562
DUCK-F-AM4,synthetic2m,L2LN,1200,0.119,0.2431373596191406
DUCK-F-AM4,synthetic2m,L2,1200,0.074,0.2518959045410156
DUCK-F-AM4,synthetic2m,max,1200,0.051,0.2851943969726562
DUCK-F-AM4,synthetic2m,mean,1200,0.05,0.2533645629882812
DUCK-F-AM4,synthetic2m,minus,1200,0.048,0.2571029663085937
DUCK-F-AM4,synthetic2m,multi,1200,0.036,0.272064208984375
DUCK-F-AM4,synthetic2m,plus,1200,0.037,0.2440681457519531
DUCK-F-AM4,synthetic2m,variance,1200,0.087,0.275909423828125
DUCK-F-AM4,synthetic2m,weightsum,1200,0.047,0.2696266174316406
DUCK-F-AM4,synthetic32m,boxcox0,1200,0.257,0.8558807373046875
DUCK-F-AM4,synthetic32m,devide,1200,0.271,0.870086669921875
DUCK-F-AM4,synthetic32m,func1,1200,0.3,0.762908935546875
DUCK-F-AM4,synthetic32m,L22,1200,0.333,0.979045867919922
DUCK-F-AM4,synthetic32m,L2LN,1200,0.682,1.1834983825683594
DUCK-F-AM4,synthetic32m,L2,1200,0.518,0.6454544067382812
DUCK-F-AM4,synthetic32m,max,1200,0.388,1.4775314331054688
DUCK-F-AM4,synthetic32m,mean,1200,0.31,1.072601318359375
DUCK-F-AM4,synthetic32m,minus,1200,0.246,0.604949951171875
DUCK-F-AM4,synthetic32m,multi,1200,0.255,0.7365036010742188
DUCK-F-AM4,synthetic32m,plus,1200,0.249,0.4707984924316406
DUCK-F-AM4,synthetic32m,variance,1200,0.637,1.279815673828125
DUCK-F-AM4,synthetic32m,weightsum,1200,0.327,0.8475341796875
DUCK-F-AM4,synthetic4m,boxcox0,1200,0.062,0.2470893859863281
DUCK-F-AM4,synthetic4m,devide,1200,0.058,0.3274269104003906
DUCK-F-AM4,synthetic4m,func1,1200,0.078,0.2277297973632812
DUCK-F-AM4,synthetic4m,L22,1200,0.076,0.3753700256347656
DUCK-F-AM4,synthetic4m,L2LN,1200,0.126,0.4091758728027344
DUCK-F-AM4,synthetic4m,L2,1200,0.1,0.3294601440429687
DUCK-F-AM4,synthetic4m,max,1200,0.077,0.3025741577148437
DUCK-F-AM4,synthetic4m,mean,1200,0.074,0.3594818115234375
DUCK-F-AM4,synthetic4m,minus,1200,0.059,0.2826919555664062
DUCK-F-AM4,synthetic4m,multi,1200,0.06,0.30322265625
DUCK-F-AM4,synthetic4m,plus,1200,0.059,0.2633743286132812
DUCK-F-AM4,synthetic4m,variance,1200,0.126,0.2908592224121094
DUCK-F-AM4,synthetic4m,weightsum,1200,0.077,0.354736328125
DUCK-F-AM4,synthetic512m5v,boxcox0,1200,3.629,10.616069793701172
DUCK-F-AM4,synthetic512m5v,devide,1200,3.593,25.313457489013672
DUCK-F-AM4,synthetic512m5v,func1,1200,3.837,7.638935089111328
DUCK-F-AM4,synthetic512m5v,L22,1200,4.221,51.65773391723633
DUCK-F-AM4,synthetic512m5v,L2LN,1200,7.525,56.19890594482422
DUCK-F-AM4,synthetic512m5v,L2,1200,6.417,43.443965911865234
DUCK-F-AM4,synthetic512m5v,max,1200,4.736,38.91764450073242
DUCK-F-AM4,synthetic512m5v,mean,1200,4.532,29.847797393798828
DUCK-F-AM4,synthetic512m5v,minus,1200,3.57,17.96407699584961
DUCK-F-AM4,synthetic512m5v,multi,1200,3.301,21.6364860534668
DUCK-F-AM4,synthetic512m5v,plus,1200,3.623,14.287822723388672
DUCK-F-AM4,synthetic512m5v,variance,1200,7.426,34.389976501464844
DUCK-F-AM4,synthetic512m5v,weightsum,1200,4.118,47.981475830078125
DUCK-F-AM4,synthetic64m,boxcox0,1200,0.546,1.5244064331054688
DUCK-F-AM4,synthetic64m,devide,1200,0.469,1.2425918579101562
DUCK-F-AM4,synthetic64m,func1,1200,0.556,1.3494873046875
DUCK-F-AM4,synthetic64m,L22,1200,0.64,1.2049217224121094
DUCK-F-AM4,synthetic64m,L2LN,1200,1.219,1.562358856201172
DUCK-F-AM4,synthetic64m,L2,1200,0.981,2.65869140625
DUCK-F-AM4,synthetic64m,max,1200,0.644,2.302135467529297
DUCK-F-AM4,synthetic64m,mean,1200,0.608,1.5978927612304688
DUCK-F-AM4,synthetic64m,minus,1200,0.471,0.7442970275878906
DUCK-F-AM4,synthetic64m,multi,1200,0.468,0.9935836791992188
DUCK-F-AM4,synthetic64m,plus,1200,0.466,1.7767410278320312
DUCK-F-AM4,synthetic64m,variance,1200,1.175,1.955894470214844
DUCK-F-AM4,synthetic64m,weightsum,1200,0.594,0.959735870361328
DUCK-F-AM4,synthetic8m,boxcox0,1200,0.082,0.2812881469726562
DUCK-F-AM4,synthetic8m,devide,1200,0.087,0.4100608825683594
DUCK-F-AM4,synthetic8m,func1,1200,0.1,0.43475341796875
DUCK-F-AM4,synthetic8m,L22,1200,0.109,0.4668121337890625
DUCK-F-AM4,synthetic8m,L2LN,1200,0.2,0.5147857666015625
DUCK-F-AM4,synthetic8m,L2,1200,0.164,0.380615234375
DUCK-F-AM4,synthetic8m,max,1200,0.115,0.3389015197753906
DUCK-F-AM4,synthetic8m,mean,1200,0.115,0.4622955322265625
DUCK-F-AM4,synthetic8m,minus,1200,0.089,0.3452339172363281
DUCK-F-AM4,synthetic8m,multi,1200,0.084,0.3794975280761719
DUCK-F-AM4,synthetic8m,plus,1200,0.084,0.3149223327636719
DUCK-F-AM4,synthetic8m,variance,1200,0.203,0.5201187133789062
DUCK-F-AM4,synthetic8m,weightsum,1200,0.105,0.4351730346679687
DUCK-F-AM4,synthetic128m,boxcox0,200,0.8,1.276836395263672
DUCK-F-AM4,synthetic128m,devide,200,0.845,1.779376983642578
DUCK-F-AM4,synthetic128m,func1,200,0.941,1.3004379272460938
DUCK-F-AM4,synthetic128m,L22,200,0.912,6.821945190429688
DUCK-F-AM4,synthetic128m,L2LN,200,1.817,7.3325653076171875
DUCK-F-AM4,synthetic128m,L2,200,1.433,4.298007965087891
DUCK-F-AM4,synthetic128m,max,200,1.165,1.6275978088378906
DUCK-F-AM4,synthetic128m,mean,200,0.995,1.948394775390625
DUCK-F-AM4,synthetic128m,minus,200,0.78,1.777191162109375
DUCK-F-AM4,synthetic128m,multi,200,0.745,1.7765617370605469
DUCK-F-AM4,synthetic128m,plus,200,0.771,1.4399147033691406
DUCK-F-AM4,synthetic128m,variance,200,2.105,2.292583465576172
DUCK-F-AM4,synthetic128m,weightsum,200,0.864,6.3077545166015625
DUCK-F-AM4,synthetic16m,boxcox0,200,0.148,0.3966903686523437
DUCK-F-AM4,synthetic16m,devide,200,0.15,0.4355621337890625
DUCK-F-AM4,synthetic16m,func1,200,0.159,0.398590087890625
DUCK-F-AM4,synthetic16m,L22,200,0.191,0.4950828552246094
DUCK-F-AM4,synthetic16m,L2LN,200,0.359,0.4696922302246094
DUCK-F-AM4,synthetic16m,L2,200,0.273,0.5263137817382812
DUCK-F-AM4,synthetic16m,max,200,0.203,0.5289306640625
DUCK-F-AM4,synthetic16m,mean,200,0.169,0.4692497253417969
DUCK-F-AM4,synthetic16m,minus,200,0.137,0.4300880432128906
DUCK-F-AM4,synthetic16m,multi,200,0.132,0.4358558654785156
DUCK-F-AM4,synthetic16m,plus,200,0.135,0.4114341735839844
DUCK-F-AM4,synthetic16m,variance,200,0.36,0.5319061279296875
DUCK-F-AM4,synthetic16m,weightsum,200,0.164,0.5307579040527344
DUCK-F-AM4,synthetic1b5v,boxcox0,200,6.654,9.184864044189451
DUCK-F-AM4,synthetic1b5v,devide,200,7.141,12.56084442138672
DUCK-F-AM4,synthetic1b5v,func1,200,7.438,6.069446563720703
DUCK-F-AM4,synthetic1b5v,L22,200,8.362,12.854629516601562
DUCK-F-AM4,synthetic1b5v,L2LN,200,14.056,15.019927978515623
DUCK-F-AM4,synthetic1b5v,L2,200,11.612,14.993396759033203
DUCK-F-AM4,synthetic1b5v,max,200,8.654,13.40108871459961
DUCK-F-AM4,synthetic1b5v,mean,200,8.431,14.776893615722656
DUCK-F-AM4,synthetic1b5v,minus,200,6.349,11.24289321899414
DUCK-F-AM4,synthetic1b5v,multi,200,6.192,11.305007934570312
DUCK-F-AM4,synthetic1b5v,plus,200,6.527,11.145706176757812
DUCK-F-AM4,synthetic1b5v,variance,200,13.99,15.558883666992188
DUCK-F-AM4,synthetic1b5v,weightsum,200,7.538,13.412342071533203
DUCK-F-AM4,synthetic1m,boxcox0,200,0.029,0.2684059143066406
DUCK-F-AM4,synthetic1m,devide,200,0.025,0.2695541381835937
DUCK-F-AM4,synthetic1m,func1,200,0.034,0.2840538024902344
DUCK-F-AM4,synthetic1m,L22,200,0.039,0.2773361206054687
DUCK-F-AM4,synthetic1m,L2LN,200,0.075,0.2779541015625
DUCK-F-AM4,synthetic1m,L2,200,0.062,0.2801437377929687
DUCK-F-AM4,synthetic1m,max,200,0.038,0.2788467407226562
DUCK-F-AM4,synthetic1m,mean,200,0.042,0.2723808288574219
DUCK-F-AM4,synthetic1m,minus,200,0.033,0.271697998046875
DUCK-F-AM4,synthetic1m,multi,200,0.037,0.2709884643554687
DUCK-F-AM4,synthetic1m,plus,200,0.04,0.2715492248535156
DUCK-F-AM4,synthetic1m,variance,200,0.073,0.2827873229980469
DUCK-F-AM4,synthetic1m,weightsum,200,0.032,0.2788543701171875
DUCK-F-AM4,synthetic256m,boxcox0,200,1.297,11.054649353027344
DUCK-F-AM4,synthetic256m,devide,200,1.295,14.388885498046877
DUCK-F-AM4,synthetic256m,func1,200,1.505,7.806991577148437
DUCK-F-AM4,synthetic256m,L22,200,1.64,22.1707763671875
DUCK-F-AM4,synthetic256m,L2LN,200,3.162,27.359527587890625
DUCK-F-AM4,synthetic256m,L2,200,2.661,11.516651153564451
DUCK-F-AM4,synthetic256m,max,200,1.891,3.637393951416016
DUCK-F-AM4,synthetic256m,mean,200,1.639,18.38741683959961
DUCK-F-AM4,synthetic256m,minus,200,1.378,5.971492767333984
DUCK-F-AM4,synthetic256m,multi,200,1.218,10.77385711669922
DUCK-F-AM4,synthetic256m,plus,200,1.246,2.3612594604492188
DUCK-F-AM4,synthetic256m,variance,200,3.318,23.14560317993164
DUCK-F-AM4,synthetic256m,weightsum,200,1.575,16.24737548828125
DUCK-F-AM4,synthetic2m,boxcox0,200,0.04,0.2869071960449219
DUCK-F-AM4,synthetic2m,devide,200,0.037,0.2930068969726562
DUCK-F-AM4,synthetic2m,func1,200,0.045,0.2854042053222656
DUCK-F-AM4,synthetic2m,L22,200,0.048,0.2992210388183594
DUCK-F-AM4,synthetic2m,L2LN,200,0.085,0.300201416015625
DUCK-F-AM4,synthetic2m,L2,200,0.064,0.2984237670898437
DUCK-F-AM4,synthetic2m,max,200,0.049,0.3021583557128906
DUCK-F-AM4,synthetic2m,mean,200,0.049,0.2973899841308594
DUCK-F-AM4,synthetic2m,minus,200,0.03,0.2918586730957031
DUCK-F-AM4,synthetic2m,multi,200,0.031,0.2920684814453125
DUCK-F-AM4,synthetic2m,plus,200,0.034,0.289093017578125
DUCK-F-AM4,synthetic2m,variance,200,0.078,0.307830810546875
DUCK-F-AM4,synthetic2m,weightsum,200,0.043,0.2997016906738281
DUCK-F-AM4,synthetic32m,boxcox0,200,0.259,0.5410881042480469
DUCK-F-AM4,synthetic32m,devide,200,0.251,0.6568374633789062
DUCK-F-AM4,synthetic32m,func1,200,0.291,0.5316390991210938
DUCK-F-AM4,synthetic32m,L22,200,0.344,0.78497314453125
DUCK-F-AM4,synthetic32m,L2LN,200,0.649,0.7228927612304688
DUCK-F-AM4,synthetic32m,L2,200,0.473,0.8544158935546875
DUCK-F-AM4,synthetic32m,max,200,0.368,0.8537788391113281
DUCK-F-AM4,synthetic32m,mean,200,0.323,0.7270698547363281
DUCK-F-AM4,synthetic32m,minus,200,0.257,0.6546134948730469
DUCK-F-AM4,synthetic32m,multi,200,0.227,0.6569137573242188
DUCK-F-AM4,synthetic32m,plus,200,0.245,0.5805320739746094
DUCK-F-AM4,synthetic32m,variance,200,0.696,0.8619422912597656
DUCK-F-AM4,synthetic32m,weightsum,200,0.323,0.8520164489746094
DUCK-F-AM4,synthetic4m,boxcox0,200,0.062,0.2978591918945312
DUCK-F-AM4,synthetic4m,devide,200,0.063,0.3131370544433594
DUCK-F-AM4,synthetic4m,func1,200,0.067,0.3039321899414062
DUCK-F-AM4,synthetic4m,L22,200,0.07,0.3228988647460937
DUCK-F-AM4,synthetic4m,L2LN,200,0.118,0.3235702514648437
DUCK-F-AM4,synthetic4m,L2,200,0.099,0.3290977478027344
DUCK-F-AM4,synthetic4m,max,200,0.068,0.3307952880859375
DUCK-F-AM4,synthetic4m,mean,200,0.071,0.3207931518554687
DUCK-F-AM4,synthetic4m,minus,200,0.051,0.3105964660644531
DUCK-F-AM4,synthetic4m,multi,200,0.052,0.3109588623046875
DUCK-F-AM4,synthetic4m,plus,200,0.05,0.3006057739257812
DUCK-F-AM4,synthetic4m,variance,200,0.117,0.3359336853027344
DUCK-F-AM4,synthetic4m,weightsum,200,0.069,0.3307838439941406
DUCK-F-AM4,synthetic512m5v,boxcox0,200,3.525,16.952537536621094
DUCK-F-AM4,synthetic512m5v,devide,200,2.064,33.649436950683594
DUCK-F-AM4,synthetic512m5v,func1,200,17.615,5.094390869140625
DUCK-F-AM4,synthetic512m5v,L22,200,4.698,5.7899322509765625
DUCK-F-AM4,synthetic512m5v,L2LN,200,7.451,6.971515655517578
DUCK-F-AM4,synthetic512m5v,L2,200,2.972,41.2847785949707
DUCK-F-AM4,synthetic512m5v,max,200,2.272,23.309574127197266
DUCK-F-AM4,synthetic512m5v,mean,200,3.411,45.51647567749024
DUCK-F-AM4,synthetic512m5v,minus,200,2.092,11.642341613769531
DUCK-F-AM4,synthetic512m5v,multi,200,2.017,22.64501571655273
DUCK-F-AM4,synthetic512m5v,plus,200,3.228,26.54870986938477
DUCK-F-AM4,synthetic512m5v,variance,200,4.384,5.324134826660156
DUCK-F-AM4,synthetic512m5v,weightsum,200,2.084,59.32746887207031
DUCK-F-AM4,synthetic64m,boxcox0,200,0.513,0.7697677612304688
DUCK-F-AM4,synthetic64m,devide,200,0.502,1.003948211669922
DUCK-F-AM4,synthetic64m,func1,200,0.592,0.8235282897949219
DUCK-F-AM4,synthetic64m,L22,200,0.579,1.2118453979492188
DUCK-F-AM4,synthetic64m,L2LN,200,1.111,1.1189804077148438
DUCK-F-AM4,synthetic64m,L2,200,0.879,1.3128890991210938
DUCK-F-AM4,synthetic64m,max,200,0.701,1.3100204467773438
DUCK-F-AM4,synthetic64m,mean,200,0.588,1.107757568359375
DUCK-F-AM4,synthetic64m,minus,200,0.496,1.00177001953125
DUCK-F-AM4,synthetic64m,multi,200,0.465,1.0028915405273438
DUCK-F-AM4,synthetic64m,plus,200,0.451,0.8471145629882812
DUCK-F-AM4,synthetic64m,variance,200,1.182,1.3165855407714844
DUCK-F-AM4,synthetic64m,weightsum,200,0.563,1.3160247802734375
DUCK-F-AM4,synthetic8m,boxcox0,200,0.086,0.3247146606445312
DUCK-F-AM4,synthetic8m,devide,200,0.09,0.3478813171386719
DUCK-F-AM4,synthetic8m,func1,200,0.095,0.33282470703125
DUCK-F-AM4,synthetic8m,L22,200,0.104,0.3840713500976562
DUCK-F-AM4,synthetic8m,L2LN,200,0.197,0.3658447265625
DUCK-F-AM4,synthetic8m,L2,200,0.161,0.394378662109375
DUCK-F-AM4,synthetic8m,max,200,0.124,0.3979225158691406
DUCK-F-AM4,synthetic8m,mean,200,0.101,0.3708610534667969
DUCK-F-AM4,synthetic8m,minus,200,0.085,0.3498268127441406
DUCK-F-AM4,synthetic8m,multi,200,0.075,0.3488044738769531
DUCK-F-AM4,synthetic8m,plus,200,0.084,0.3344192504882812
DUCK-F-AM4,synthetic8m,variance,200,0.192,0.4090576171875
DUCK-F-AM4,synthetic8m,weightsum,200,0.108,0.4059295654296875
DUCK-F-AM4,synthetic128m,boxcox0,400,0.805,1.6146697998046875
DUCK-F-AM4,synthetic128m,devide,400,0.858,2.2804908752441406
DUCK-F-AM4,synthetic128m,func1,400,0.9,1.6393547058105469
DUCK-F-AM4,synthetic128m,L22,400,0.954,7.3257293701171875
DUCK-F-AM4,synthetic128m,L2LN,400,1.831,6.993675231933594
DUCK-F-AM4,synthetic128m,L2,400,1.411,4.966117858886719
DUCK-F-AM4,synthetic128m,max,400,1.036,2.2921295166015625
DUCK-F-AM4,synthetic128m,mean,400,1.009,2.616558074951172
DUCK-F-AM4,synthetic128m,minus,400,0.742,2.2796363830566406
DUCK-F-AM4,synthetic128m,multi,400,0.827,2.2796669006347656
DUCK-F-AM4,synthetic128m,plus,400,0.768,1.9428482055664065
DUCK-F-AM4,synthetic128m,variance,400,1.879,2.958438873291016
DUCK-F-AM4,synthetic128m,weightsum,400,0.881,6.977741241455078
DUCK-F-AM4,synthetic16m,boxcox0,400,0.146,0.4450798034667969
DUCK-F-AM4,synthetic16m,devide,400,0.142,0.4963226318359375
DUCK-F-AM4,synthetic16m,func1,400,0.167,0.4454727172851562
DUCK-F-AM4,synthetic16m,L22,400,0.192,0.5553054809570312
DUCK-F-AM4,synthetic16m,L2LN,400,0.354,0.5649681091308594
DUCK-F-AM4,synthetic16m,L2,400,0.268,0.6202888488769531
DUCK-F-AM4,synthetic16m,max,400,0.202,0.6164283752441406
DUCK-F-AM4,synthetic16m,mean,400,0.162,0.5552101135253906
DUCK-F-AM4,synthetic16m,minus,400,0.141,0.4952583312988281
DUCK-F-AM4,synthetic16m,multi,400,0.138,0.4969291687011719
DUCK-F-AM4,synthetic16m,plus,400,0.139,0.4644203186035156
DUCK-F-AM4,synthetic16m,variance,400,0.345,0.6244888305664062
DUCK-F-AM4,synthetic16m,weightsum,400,0.184,0.61834716796875
DUCK-F-AM4,synthetic1b5v,boxcox0,400,6.76,6.209014892578125
DUCK-F-AM4,synthetic1b5v,devide,400,8.806,15.952308654785156
DUCK-F-AM4,synthetic1b5v,func1,400,7.291,6.100933074951172
DUCK-F-AM4,synthetic1b5v,L22,400,8.293,19.89835357666016
DUCK-F-AM4,synthetic1b5v,L2LN,400,14.277,18.56906509399414
DUCK-F-AM4,synthetic1b5v,L2,400,11.504,23.029808044433597
DUCK-F-AM4,synthetic1b5v,max,400,8.63,21.43773651123047
DUCK-F-AM4,synthetic1b5v,mean,400,7.656,22.84308242797852
DUCK-F-AM4,synthetic1b5v,minus,400,6.322,18.295825958251957
DUCK-F-AM4,synthetic1b5v,multi,400,6.421,18.3581657409668
DUCK-F-AM4,synthetic1b5v,plus,400,6.607,18.20137023925781
DUCK-F-AM4,synthetic1b5v,variance,400,13.948,23.60092544555664
DUCK-F-AM4,synthetic1b5v,weightsum,400,7.771,21.462215423583984
DUCK-F-AM4,synthetic1m,boxcox0,400,0.04,0.2779388427734375
DUCK-F-AM4,synthetic1m,devide,400,0.03,0.2780723571777344
DUCK-F-AM4,synthetic1m,func1,400,0.03,0.2920646667480469
DUCK-F-AM4,synthetic1m,L22,400,0.038,0.2870330810546875
DUCK-F-AM4,synthetic1m,L2LN,400,0.073,0.2905082702636719
DUCK-F-AM4,synthetic1m,L2,400,0.047,0.2905158996582031
DUCK-F-AM4,synthetic1m,max,400,0.033,0.2886276245117187
DUCK-F-AM4,synthetic1m,mean,400,0.051,0.284912109375
DUCK-F-AM4,synthetic1m,minus,400,0.035,0.2809715270996094
DUCK-F-AM4,synthetic1m,multi,400,0.034,0.2792320251464844
DUCK-F-AM4,synthetic1m,plus,400,0.036,0.2798881530761719
DUCK-F-AM4,synthetic1m,variance,400,0.056,0.2949943542480469
DUCK-F-AM4,synthetic1m,weightsum,400,0.041,0.2905120849609375
DUCK-F-AM4,synthetic256m,boxcox0,400,1.288,11.87380599975586
DUCK-F-AM4,synthetic256m,devide,400,1.29,15.59638214111328
DUCK-F-AM4,synthetic256m,func1,400,1.502,8.617973327636719
DUCK-F-AM4,synthetic256m,L22,400,1.691,23.375938415527344
DUCK-F-AM4,synthetic256m,L2LN,400,3.274,28.944629669189453
DUCK-F-AM4,synthetic256m,L2,400,2.557,13.091411590576172
DUCK-F-AM4,synthetic256m,max,400,1.856,5.217430114746094
DUCK-F-AM4,synthetic256m,mean,400,1.477,19.97258758544922
DUCK-F-AM4,synthetic256m,minus,400,1.503,7.17596435546875
DUCK-F-AM4,synthetic256m,multi,400,1.24,11.98163604736328
DUCK-F-AM4,synthetic256m,plus,400,1.252,3.5681114196777344
DUCK-F-AM4,synthetic256m,variance,400,3.104,24.735939025878903
DUCK-F-AM4,synthetic256m,weightsum,400,1.58,17.82236099243164
DUCK-F-AM4,synthetic2m,boxcox0,400,0.049,0.2992668151855469
DUCK-F-AM4,synthetic2m,devide,400,0.043,0.3066825866699219
DUCK-F-AM4,synthetic2m,func1,400,0.046,0.2977828979492187
DUCK-F-AM4,synthetic2m,L22,400,0.049,0.3118438720703125
DUCK-F-AM4,synthetic2m,L2LN,400,0.083,0.3191070556640625
DUCK-F-AM4,synthetic2m,L2,400,0.066,0.3116302490234375
DUCK-F-AM4,synthetic2m,max,400,0.051,0.3165512084960937
DUCK-F-AM4,synthetic2m,mean,400,0.044,0.3133888244628906
DUCK-F-AM4,synthetic2m,minus,400,0.04,0.3018302917480469
DUCK-F-AM4,synthetic2m,multi,400,0.038,0.3065147399902344
DUCK-F-AM4,synthetic2m,plus,400,0.042,0.3029212951660156
DUCK-F-AM4,synthetic2m,variance,400,0.087,0.3196678161621094
DUCK-F-AM4,synthetic2m,weightsum,400,0.043,0.31207275390625
DUCK-F-AM4,synthetic32m,boxcox0,400,0.272,0.6353492736816406
DUCK-F-AM4,synthetic32m,devide,400,0.263,0.7878646850585938
DUCK-F-AM4,synthetic32m,func1,400,0.283,0.6255149841308594
DUCK-F-AM4,synthetic32m,L22,400,0.333,0.9175453186035156
DUCK-F-AM4,synthetic32m,L2LN,400,0.657,0.9229850769042968
DUCK-F-AM4,synthetic32m,L2,400,0.481,1.0556182861328125
DUCK-F-AM4,synthetic32m,max,400,0.366,1.0542221069335938
DUCK-F-AM4,synthetic32m,mean,400,0.327,0.9260940551757812
DUCK-F-AM4,synthetic32m,minus,400,0.25,0.7870635986328125
DUCK-F-AM4,synthetic32m,multi,400,0.243,0.7879066467285156
DUCK-F-AM4,synthetic32m,plus,400,0.265,0.7115936279296875
DUCK-F-AM4,synthetic32m,variance,400,0.638,1.062335968017578
DUCK-F-AM4,synthetic32m,weightsum,400,0.366,1.0522232055664062
DUCK-F-AM4,synthetic4m,boxcox0,400,0.061,0.3130836486816406
DUCK-F-AM4,synthetic4m,devide,400,0.058,0.3308677673339844
DUCK-F-AM4,synthetic4m,func1,400,0.062,0.3171958923339844
DUCK-F-AM4,synthetic4m,L22,400,0.069,0.3405952453613281
DUCK-F-AM4,synthetic4m,L2LN,400,0.118,0.3514976501464844
DUCK-F-AM4,synthetic4m,L2,400,0.092,0.3568077087402344
DUCK-F-AM4,synthetic4m,max,400,0.077,0.3555946350097656
DUCK-F-AM4,synthetic4m,mean,400,0.063,0.34674072265625
DUCK-F-AM4,synthetic4m,minus,400,0.057,0.3290023803710937
DUCK-F-AM4,synthetic4m,multi,400,0.054,0.3312568664550781
DUCK-F-AM4,synthetic4m,plus,400,0.056,0.3209037780761719
DUCK-F-AM4,synthetic4m,variance,400,0.12,0.3658866882324219
DUCK-F-AM4,synthetic4m,weightsum,400,0.072,0.3565711975097656
DUCK-F-AM4,synthetic512m5v,boxcox0,400,3.958,19.923938751220703
DUCK-F-AM4,synthetic512m5v,devide,400,2.002,37.31023025512695
DUCK-F-AM4,synthetic512m5v,func1,400,5.04,8.061107635498047
DUCK-F-AM4,synthetic512m5v,L22,400,4.483,9.444602966308594
DUCK-F-AM4,synthetic512m5v,L2LN,400,7.3,11.4652099609375
DUCK-F-AM4,synthetic512m5v,L2,400,2.967,45.79450225830078
DUCK-F-AM4,synthetic512m5v,max,400,2.27,27.79541015625
DUCK-F-AM4,synthetic512m5v,mean,400,2.314,50.02301788330078
DUCK-F-AM4,synthetic512m5v,minus,400,2.077,15.311363220214844
DUCK-F-AM4,synthetic512m5v,multi,400,2.0,26.312664031982425
DUCK-F-AM4,synthetic512m5v,plus,400,3.416,30.20736694335937
DUCK-F-AM4,synthetic512m5v,variance,400,3.667,9.833038330078123
DUCK-F-AM4,synthetic512m5v,weightsum,400,2.132,63.83213806152344
DUCK-F-AM4,synthetic64m,boxcox0,400,0.471,0.9415206909179688
DUCK-F-AM4,synthetic64m,devide,400,0.494,1.253643035888672
DUCK-F-AM4,synthetic64m,func1,400,0.559,0.996562957763672
DUCK-F-AM4,synthetic64m,L22,400,0.566,1.4618301391601562
DUCK-F-AM4,synthetic64m,L2LN,400,1.127,1.468608856201172
DUCK-F-AM4,synthetic64m,L2,400,0.891,1.6631431579589844
DUCK-F-AM4,synthetic64m,max,400,0.651,1.661041259765625
DUCK-F-AM4,synthetic64m,mean,400,0.607,1.4586257934570312
DUCK-F-AM4,synthetic64m,minus,400,0.465,1.2528457641601562
DUCK-F-AM4,synthetic64m,multi,400,0.457,1.2507476806640625
DUCK-F-AM4,synthetic64m,plus,400,0.44,1.097881317138672
DUCK-F-AM4,synthetic64m,variance,400,1.162,1.6679840087890625
DUCK-F-AM4,synthetic64m,weightsum,400,0.593,1.6665534973144531
DUCK-F-AM4,synthetic8m,boxcox0,400,0.087,0.347259521484375
DUCK-F-AM4,synthetic8m,devide,400,0.09,0.3812942504882812
DUCK-F-AM4,synthetic8m,func1,400,0.098,0.3538627624511719
DUCK-F-AM4,synthetic8m,L22,400,0.114,0.4160728454589844
DUCK-F-AM4,synthetic8m,L2LN,400,0.203,0.4205436706542969
DUCK-F-AM4,synthetic8m,L2,400,0.164,0.4437789916992187
DUCK-F-AM4,synthetic8m,max,400,0.124,0.450531005859375
DUCK-F-AM4,synthetic8m,mean,400,0.108,0.4198989868164062
DUCK-F-AM4,synthetic8m,minus,400,0.083,0.3796806335449219
