data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
nycsecond,interaction-start,7I9,0.0,plus,600,141998399,283996799,91,0.089,1767688,0.0,71568,1.0
nycsecond,interaction-change-func,7,0.0,func1,600,141998399,283996799,1,0.031,1767688,0.0,43329,1.0
nycsecond,interaction-change-func,7I9,0.0,plus,600,141998399,283996799,91,0.09,1767688,0.0,71824,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,600,141998399,283996799,8,0.247,1768124,0.0,30611,1.0
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,141998399,283996799,11,0.225,1768124,0.0,29844,1.0
nycsecond,interaction-zoomdown,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,0,283996799,24,0.317,1771944,0.0,64570,1.0
nycsecond,interaction-change-func,7I9,0.0,multi,650,0,283996799,446,0.278,1772608,0.0,457285,1.0
nycsecond,interaction-resizeup,7I9,0.0,multi,700,0,283996799,365,0.286,1773896,0.0,473764,1.0
nycsecond,interaction-resizedown,7I9,0.0,multi,650,0,283996799,446,0.309,1773932,0.0,455242,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,0,283996799,24,0.321,1773948,0.0,63636,1.0
nycsecond,interaction-change-func,7I9,0.0,L22,650,0,283996799,139,0.108,1773948,0.0,104284,1.0
nycsecond,interaction-change-column,8I4,0.0,L22,650,0,283996799,2,0.056,1773948,0.0,52106,1.0
nycsecond,interaction-change-column,8I10,0.0,L22,650,0,283996799,24,0.077,1773948,0.0,79876,1.0
nycsecond,interaction-resizedown,8I10,0.0,L22,600,0,283996799,18,0.083,1773948,0.0,71987,1.0
nycsecond,interaction-change-column,3I9,0.0,L22,600,0,283996799,45,0.074,1773948,0.0,78867,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,600,0,283996799,18,0.312,1775884,0.0,77088,1.0
nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,600,70999200,212997599,19,0.28,1776240,0.0,72503,1.0
nycsecond,interaction-change-func,1I4,0.0,devide,600,70999200,212997599,54,0.083,1776336,0.0,113959,1.0
nycsecond,interaction-resizeup,1I4,0.0,devide,650,70999200,212997599,119,0.11,1776336,0.0,123229,1.0
nycsecond,interaction-change-func,7I9,0.0,L22,650,70999200,212997599,71,0.076,1776336,0.0,99074,1.0
nycsecond,interaction-change-func,7,0.0,boxcox0,650,70999200,212997599,0,0.02,1776336,0.0,25809,1.0
nycsecond,interaction-change-column,2,0.0,boxcox0,650,70999200,212997599,0,0.019,1776336,0.0,25809,1.0
nycsecond,interaction-resizeup,2,0.0,boxcox0,700,70999200,212997599,0,0.019,1776336,0.0,27813,1.0
nycsecond,interaction-change-func,7I9,0.0,minus,700,70999200,212997599,7,0.051,1776336,0.0,67000,1.0
nycsecond,interaction-change-column,1I4,0.0,minus,700,70999200,212997599,8,0.055,1776336,0.0,72670,1.0
nycsecond,interaction-change-column,10I1,0.0,minus,700,70999200,212997599,110,0.125,1776336,0.0,184672,1.0
nycsecond,interaction-change-column,10I8,0.0,minus,700,70999200,212997599,272,0.207,1776336,0.0,240700,1.0
nycsecond,interaction-change-func,7I9,0.0,plus,700,70999200,212997599,74,0.082,1776336,0.0,117641,1.0
nycsecond,interaction-paningleft,7I9,0.0,plus,700,37876989,179875388,121,0.102,1776336,0.0,133888,1.0
nycsecond,interaction-zoomdown,7I9,0.0,plus,700,1,283996799,161,0.125,1776336,0.0,134807,1.0
nycsecond,interaction-change-column,8I7,0.0,plus,700,1,283996799,4,0.055,1776336,0.0,53602,1.0
nycsecond,interaction-resizeup,8I7,0.0,plus,750,1,283996799,4,0.057,1776336,0.0,57473,1.0
nycsecond,interaction-change-column,7I8,0.0,plus,750,1,283996799,4,0.055,1776336,0.0,57021,1.0
nycsecond,interaction-change-column,10I6,0.0,plus,750,1,283996799,9,0.061,1776344,0.0,61424,1.0
nycsecond,interaction-change-func,7I9,0.0,multi,750,1,283996799,390,0.304,1780284,0.0,482929,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,750,1,283996799,31,0.434,1797476,0.0,93763,1.0
nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,700,1,283996799,48,0.335,1798300,0.0,87640,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,700,1,283996799,32,0.283,1798824,0.0,63118,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,700,1,283996799,48,0.32,1800788,0.0,87577,1.0
nycsecond,interaction-change-func,7I9,0.0,minus,700,1,283996799,6,0.052,1801140,0.0,68329,1.0
nycsecond,interaction-change-column,4I8,0.0,minus,700,1,283996799,223,0.199,1801140,0.0,283694,1.0
nycsecond,interaction-change-func,7,0.0,func1,700,1,283996799,1,0.041,1801140,0.0,48070,1.0
nycsecond,interaction-change-column,8,0.0,func1,700,1,283996799,0,0.036,1801140,0.0,28611,1.0
nycsecond,interaction-change-column,7,0.0,func1,700,1,283996799,1,0.027,1801140,0.0,45706,1.0
nycsecond,interaction-resizeup,7,0.0,func1,750,1,283996799,1,0.033,1801140,0.0,49879,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,750,1,283996799,31,0.41,1808312,0.0,92282,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,750,1,283996799,28,0.294,1808684,0.0,66825,1.0
nycsecond,interaction-change-func,7I9,0.0,multi,750,1,283996799,390,0.328,1808684,0.0,498632,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,750,1,283996799,31,0.336,1819480,0.0,90608,1.0
nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,750,70999201,212997599,30,0.341,1820056,0.0,90971,1.0
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,800,70999201,212997599,107,0.376,1823900,0.0,97021,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,variance,800,70999201,212997599,1,0.255,1824484,0.0,56919,1.0
nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0.0,variance,750,70999201,212997599,1,0.251,1824720,0.0,54039,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,mean,750,70999201,212997599,74,0.436,1825296,0.0,116271,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,variance,750,70999201,212997599,1,0.321,1825824,0.0,54869,1.0
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.0,variance,800,70999201,212997599,1,0.336,1826880,0.0,56492,1.0
nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0.0,variance,750,70999201,212997599,1,0.32,1826880,0.0,54105,1.0
nycsecond,interaction-change-func,7,0.0,boxcox0,750,70999201,212997599,0,0.032,1826880,0.0,28925,1.0
nycsecond,interaction-change-column,10,0.0,boxcox0,750,70999201,212997599,0,0.041,1826880,0.0,28925,1.0
nycsecond,interaction-change-column,11,0.0,boxcox0,750,70999201,212997599,0,0.033,1826880,0.0,28925,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,750,70999201,212997599,29,0.334,1827176,0.0,68252,1.0
